title,bag_of_words
"my teacher, my obsession",damián romay lucyloken laurabilgeri rustyjoiner thrillers english teacher dad girls crush expect riley changed schools disturbing infatuation  
68 kill,trent haaga matthewgraygubler annalynnemccord alishaboe comedies  independent movies  thrillers violent hapless guy agrees stunning – psychotic girlfriend rob help conceived ill scheme loathsome sugar daddy  
american psycho,mary harron christianbale willemdafoe jaredleto comedies  cult movies  dramas chiseled good looks sudden homicidal urges businessman takes pathological pride insanity indulges yuppie pursuits belie  
dante's peak,roger donaldson piercebrosnan lindahamilton elizabethhoffman action & adventure everyone dormant volcano town fighting investigate volcanologist comes massive eruption lives recent rumblings  
first kill,steven c. miller haydenchristensen brucewillis gethinanthony action & adventure stock broker brings young son back grew dangerous turn things take town hunting trip witness crime  
for the birds,richard miron kathymurphy documentaries menagerie animal rights advocates even ire family draws birds passion woman neighbors fowl keeps  
igor,tony leondis johncusack stevebuscemi seanhayes children & family movies evil science fair deformed assistant winning heart village beauty gretchen mad dr dreams brilliant igor glickenstein  
just friends,roger kumble annafaris tyolsson juliehagerty comedies  romantic movies holidays still reunites feelings years portly nice guy comes home former crush high school  
mokalik (mechanic),kunle afolayan tooniafolayan ayoogunshina dayoakinpelu dramas  international movies life shifts sent shop far tough choice suburban home opportunity forces make young boy mechanic work  
mr. woodcock,craig gillespie billybobthornton seannwilliamscott ethansuplee comedies mother sadistic high school gym teacher tries self budding romance fallen stop put help author learns  
my sister's keeper,nick cassavetes camerondiaz abigailbreslin alecbaldwin dramas old daughter former defense attorney finds back year sued 11 husband court medical emancipation  
mystic river,clint eastwood seanpenn timrobbins kevinbacon dramas  thrillers linked together murder investigation tragedy reunites childhood friends sean jimmy dave teenage daughter  
oct-01,kunle afolayan sadiqdaba davidbailie kayodeolaiya dramas  international movies  thrillers backdrop britain killer terrorizing local women detective danladi waziri races capture nigeria looming independence  
olmo & the seagull,"petra costa, lea glob oliviacorsini sergionicolai armansaribekyan dramas  independent movies  international movies actress difficult confrontation rapidly transforming reflection pregnancy forces latest play  "
open season,"roger allers, jill culton martinlawrence ashtonkutcher garysinise children & family movies  comedies unprepared saving relocated real world deer hunter clutches domesticated grizzly finds wild –  "
phone swap,kunle afolayan waleojo nseikpe-etim lydiaforson comedies  international movies  romantic movies airport arrogant businessman reluctantly try fashion designer help accidentally swapping phones  
poseidon,wolfgang petersen joshlucas kurtrussell jacindabarrett action & adventure  dramas mammoth vessel tidal wave spells disaster ship battle sending passengers survival capsizes eve revelers new year  
rachel getting married,jonathan demme annehathaway rosemariedewitt debrawinger dramas  independent movies wedding former model rehab sister longstanding family conflicts resurface decade returns home  
spookley the square pumpkin,bernie denk sonjaball craigfrancis rickjones children & family movies pumpkin cast shape must step storm terrorizes smarts patch use day – save prove  
stripes,ivan reitman billmurray haroldramis warrenoates classic movies  comedies  cult movies indolent sad sack impulsively joins army best friend enlisting losing everything cajoles u  
superbad,greg mottola jonahhill michaelcera christophermintz-plasse comedies  cult movies quest series buy booze scoring wacky misadventures party hopes two best friends girls leads  
the bridge,kunle afolayan chidinmaekile ademolaadedoyin kunleafolayan dramas  international movies  romantic movies parental pressure young lady yoruba prince secretly wed prominent igbo family face tribal prejudice  
the ceo,kunle afolayan waleojo jimmyjean-louis hildadokubo dramas  international movies  thrillers stay alive new ceo contest find executives heads group win – telecommunications retreat firm pick  
the lake house,alejandro agresti keanureeves sandrabullock dylanwalsh dramas  romantic movies  sci-fi & fantasy frustrated architect discover lonely doctor begins writing letters lives living two years apart former home  
the last exorcism,daniel stamm patrickfabian ashleybell irisbahr horror movies  independent movies  thrillers final exorcism film mere trickery famed evangelist invites expose ready miraculous deeds documentary crew  
the saint,phillip noyce valkilmer elisabethshue radeserbedzija action & adventure  romantic movies steal master thief simon templar falls cold fusion secret russian politician hired scientist unlocked formula  
the taking of pelham 123,tony scott denzelwashington johntravolta luisguzmán action & adventure ransom subway train hostage demand dispatcher walter garber group bring hijackers takes passengers aboard  
uncle naji in uae,ahmed zain ibrahimalmeirasi ahmedsaif aliaalmannai comedies  international movies go fun trip soon turns terrifying two young yemeni business partners decide local friends uae vacation  
used goods,mohamed hamdy mohamedragab aytenamer hassanabdulfattah action & adventure  comedies  international movies evade greedy pharmaceutical crooks groundbreaking cancer research medical scientist disguises struggling salesman protect  
you don't mess with the zohan,dennis dugan adamsandler johnturturro emmanuellechriqui action & adventure  comedies secretly fabulous ambition become manhattan hairstylist israeli counterterrorism soldier dreams come true make anything  
age of rebellion,peter ho peterho jeanineyang tammychen crime tv shows  international tv shows  tv dramas navigate turbulent lives beyond school grounds face bullies group high unruly teens wreak havoc  
barça dreams,jordi llompart johancruyff andrésiniesta garylineker documentaries  international movies  sports movies explore beloved – fc barcelona history successful soccer franchises world philosophies behind one  
brick,rian johnson josephgordon-levitt norazehetner lukashaas independent movies  thrillers discover murdered teenage loner brendan fry navigates secret crush killer intense social network high school identity  
